draft_year,team,grp,need_rank,cap_rank_prop_in_need_space,cap_pred_elastic,cap_resid_elastic,cap_resid_elastic_std
2015,DAL,single,13,10.538461538461538,17.10618630007112,6.567724761609581,0.6360702989739601
2015,DET,single,24,32.0,15.90935693839226,-16.09064306160774,-1.5583448628519914
2015,HOU,single,28,3.3846153846153846,15.474146261418129,12.089530876802744,1.1708455817472887
2015,IND,single,20,29.615384615384617,16.34456761536639,-13.270817000018226,-1.2852506527331375
2015,KC,single,29,8.153846153846153,15.365343592174597,7.211497438328443,0.6984183256978265
2015,MIN,single,18,1.0,16.562172953853455,15.562172953853455,1.507163646884639
2015,NE,single,19,27.23076923076923,16.453370284609925,-10.777398946159305,-1.0437683701235314
2015,NYG,single,10,12.923076923076923,17.432594307801715,4.509517384724791,0.4367372530433514
2015,PHI,single,8,20.076923076923077,17.650199646288783,-2.4267234306342935,-0.2350230489367189
2015,PIT,single,6,24.846153846153847,17.867804984775848,-6.978348861377999,-0.6758383774769332
2015,SF,single,27,17.692307692307693,15.582948930661662,-2.109358761646032,-0.2042869497221009
2016,CAR,double,31,14.5625,18.89723027158164,4.334730271581641,0.4362067907357902
2016,NYG,double,4,2.9375,14.312527377181757,11.375027377181757,1.1446765717493512
2016,PIT,double,24,6.8125,17.708603595255745,10.896103595255745,1.0964821529891808
2016,ARI,single,21,30.0625,17.199192162544648,-12.863307837455352,-1.294443224485936
2016,ATL,single,16,8.75,16.35017310802615,7.600173108026151,0.7648104755728868
2016,CIN,single,30,10.6875,18.727426460677943,8.039926460677943,0.8090631479786258
2016,DEN,single,29,32.0,18.557622649774245,-13.442377350225755,-1.352715374758933
2016,IND,single,12,18.4375,15.670957864411353,-2.7665421355886473,-0.27839897543616615
2016,JAX,single,10,1.0,15.331350242603953,14.331350242603953,1.4421733082727333
2016,KC,single,32,26.1875,19.067034082485343,-7.120465917514657,-0.716537221885628
2016,MIA,single,8,12.625,14.991742620796554,2.366742620796554,0.2381668843119467
2016,MIN,single,23,16.5,17.538799784352047,1.0387997843520473,0.10453511331949622
2016,NE,single,22,20.375,17.36899597344835,-3.0060040265516506,-0.3024961848162511
2016,NO,single,1,22.3125,13.803115944470658,-8.509384055529342,-0.8563049780364743
2016,SF,single,2,24.25,13.972919755374358,-10.277080244625642,-1.0341894214346639
2016,TB,single,13,4.875,15.840761675315052,10.965761675315052,1.10349189192281
2016,WAS,single,9,28.125,15.161546431700254,-12.963453568299746,-1.304520955998763
2017,DAL,double,15,15.736842105263158,15.634687241664368,-0.10215486359878945,-0.011799224892761329
2017,GB,double,8,8.368421052631579,13.660104712041882,5.291683659410303,0.6112069788860479
2017,IND,double,6,3.9473684210526314,13.095938275006887,9.148569853954255,1.0566901011967296
2017,NO,double,5,2.473684210526316,12.813855056489388,10.340170845963073,1.1943239601421998
2017,NYJ,double,7,1.0,13.378021493524384,12.378021493524384,1.4297024555104825
2017,PHI,double,12,12.789473684210526,14.788437586111876,1.9989639019013499,0.23088694752390843
2017,ARI,single,29,14.263157894736842,19.583852300909342,5.3206944061725,0.6145578161667721
2017,BAL,single,25,5.421052631578948,18.45551942683935,13.0344667952604,1.5055240607881348
2017,BUF,single,17,11.31578947368421,16.198853678699365,4.883064205015154,0.5640100793150037
2017,CHI,single,11,29.0,14.506354367594376,-14.493645632405624,-1.6740640465675145
2017,CLE,single,4,9.842105263157896,12.53177183797189,2.6896665748139945,0.3106653925692233
2017,DET,single,3,18.68421052631579,12.249688619454393,-6.434521906861399,-0.743208579423494
2017,LA,single,23,24.57894736842105,17.891352989804354,-6.687594378616698,-0.7724392876170406
2017,MIA,single,22,27.526315789473685,17.609269771286854,-9.91704601818683,-1.145451641930794
2017,PIT,single,21,26.05263157894737,17.327186552769355,-8.725445026178015,-1.007817782985324
2017,SEA,single,13,23.105263157894736,15.070520804629373,-8.034742353265363,-0.9280393379400084
2017,SF,single,1,20.157894736842106,11.685522182419396,-8.47237255442271,-0.9785870747917769
2017,TB,single,9,17.210526315789473,13.942187930559381,-3.2683383852300913,-0.3775039021581274
2017,TEN,single,14,6.894736842105263,15.35260402314687,8.457867181041607,0.9769116561514142
2017,WAS,single,10,21.63157894736842,14.224271149076879,-7.4073077982915425,-0.85556856994308
2018,CAR,double,12,14.0,15.39922376359375,1.3992237635937492,0.152405763057181
2018,GB,double,4,4.0,12.73819313684049,8.73819313684049,0.9517784270192382
2018,ATL,single,16,22.0,16.72973907697038,-5.270260923029621,-0.5740455232276765
2018,CIN,single,25,18.0,19.723398532067794,1.7233985320677938,0.18771541419280618
2018,CLE,single,6,2.0,13.403450793528805,11.403450793528805,1.2420826924844672
2018,DET,single,17,26.0,17.062367905314535,-8.937632094685465,-0.9735016476681104
2018,HOU,single,5,24.0,13.070821965184647,-10.929178034815353,-1.19042412037495
2018,JAX,single,32,28.0,22.051800330476894,-5.948199669523106,-0.6478877310672561
2018,LAC,single,31,8.0,21.71917150213274,13.719171502132738,1.4943148163269322
2018,MIA,single,7,6.0,13.736079621872962,7.736079621872962,0.8426265680440336
2018,MIN,single,30,12.0,21.386542673788583,9.386542673788583,1.0223977292904889
2018,NE,single,11,20.0,15.066594935249592,-4.933405064750408,-0.5373546268484818
2018,PHI,single,27,30.0,20.38865618875611,-9.611343811243891,-1.0468834404264997
2018,PIT,single,21,10.0,18.392883218691164,8.392883218691164,0.9141667004776637
2018,TB,single,2,16.0,12.072935480152175,-3.927064519847825,-0.4277423527920875
